epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39538,1.11646,2.11419,1.36455,0.84999,0.33518,0.65423,0.40041,1.0657,2.24089,1.26748,0.00052,0.00052,0.00052
2,3.76649,1.10596,1.5798,1.32939,0.80858,0.45636,0.60392,0.4051,1.10693,2.12807,1.35463,0.00095506,0.00095506,0.00095506
3,5.12544,1.10899,1.38916,1.29915,0.77277,0.44598,0.57707,0.32322,1.44473,2.19858,1.68187,0.0012832,0.0012832,0.0012832
4,6.46992,1.09595,1.35413,1.30831,0.82239,0.74392,0.81015,0.53045,1.09988,1.23822,1.31897,0.001406,0.001406,0.001406
5,7.83171,1.05428,1.16298,1.2483,0.75673,0.60665,0.68506,0.38122,1.43712,1.51318,1.77036,0.001208,0.001208,0.001208
6,9.1517,0.96871,1.09638,1.19426,0.82075,0.81163,0.85131,0.58285,1.0909,1.00164,1.27755,0.00101,0.00101,0.00101
7,10.4736,0.89752,0.96951,1.1726,0.89726,0.77008,0.8699,0.64657,0.92047,0.94305,1.14525,0.000812,0.000812,0.000812
8,11.8025,0.81464,0.89425,1.12276,0.91669,0.8615,0.92612,0.7121,0.85636,0.73797,1.06212,0.000614,0.000614,0.000614
9,13.1271,0.78682,0.84275,1.08755,0.90652,0.85964,0.92613,0.75074,0.75304,0.69662,1.02073,0.000416,0.000416,0.000416
10,14.444,0.7507,0.78877,1.07621,0.88918,0.89751,0.9308,0.74699,0.75858,0.67684,1.0185,0.000218,0.000218,0.000218
