epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,49.3843,0.57896,0.44474,0.99716,0.92648,0.94246,0.9596,0.81976,0.59183,0.44497,0.93322,0.000614,0.000614,0.000614
37,50.7323,0.54712,0.43154,0.98785,0.9214,0.9417,0.94459,0.81228,0.58713,0.45882,0.94352,0.0005744,0.0005744,0.0005744
38,52.1806,0.5757,0.4359,0.99858,0.93683,0.94183,0.97133,0.81895,0.61794,0.44504,0.95986,0.0005348,0.0005348,0.0005348
39,53.5057,0.52891,0.40911,0.98136,0.93995,0.93906,0.96372,0.83165,0.58539,0.422,0.93072,0.0004952,0.0004952,0.0004952
40,54.8666,0.54831,0.43337,1.00132,0.93628,0.93352,0.96748,0.82551,0.61337,0.42726,0.95169,0.0004556,0.0004556,0.0004556
41,56.4922,0.53101,0.41701,0.95155,0.93393,0.92244,0.95993,0.81273,0.62875,0.49064,0.95042,0.000416,0.000416,0.000416
42,57.8146,0.5136,0.40899,0.94285,0.93197,0.95845,0.97145,0.83952,0.57325,0.42108,0.92493,0.0003764,0.0003764,0.0003764
43,59.1361,0.49053,0.38508,0.93507,0.93939,0.94456,0.96454,0.8273,0.58934,0.42049,0.92804,0.0003368,0.0003368,0.0003368
44,60.4379,0.47616,0.35723,0.93344,0.92802,0.95845,0.96938,0.84261,0.56517,0.41074,0.91976,0.0002972,0.0002972,0.0002972
45,61.7432,0.47669,0.3487,0.91665,0.93306,0.9653,0.9644,0.83492,0.57593,0.41138,0.92801,0.0002576,0.0002576,0.0002576
46,63.0327,0.4339,0.33,0.89324,0.92532,0.96109,0.97357,0.83317,0.57879,0.41082,0.93656,0.000218,0.000218,0.000218
47,64.3493,0.44299,0.33395,0.91525,0.92489,0.95505,0.97013,0.84642,0.55756,0.40114,0.91534,0.0001784,0.0001784,0.0001784
48,65.6691,0.42814,0.32138,0.90179,0.94301,0.93075,0.97166,0.84939,0.55443,0.39444,0.91554,0.0001388,0.0001388,0.0001388
49,66.971,0.41112,0.31541,0.89105,0.92376,0.95014,0.96934,0.84876,0.54826,0.38726,0.9116,9.92e-05,9.92e-05,9.92e-05
50,68.378,0.41306,0.31133,0.88962,0.9572,0.92244,0.97168,0.85486,0.53968,0.3818,0.90791,5.96e-05,5.96e-05,5.96e-05
