epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04205,1.13212,1.88394,1.36182,0.86383,0.43933,0.65418,0.44359,1.02416,2.1547,1.20474,0.00052,0.00052,0.00052
2,3.43492,1.07908,1.21001,1.26932,0.66828,0.55805,0.59542,0.37083,1.16889,1.78561,1.3385,0.00103901,0.00103901,0.00103901
3,4.81168,1.09858,1.11076,1.28667,0.83534,0.75884,0.80654,0.55166,1.10515,1.28515,1.29529,0.00153664,0.00153664,0.00153664
4,6.18563,1.04511,1.05183,1.25551,0.73197,0.65097,0.7178,0.40921,1.49905,1.51213,1.59767,0.0018812,0.0018812,0.0018812
5,7.5352,1.05296,1.00112,1.25286,0.75568,0.6759,0.69684,0.45164,1.20533,1.38096,1.41697,0.0018416,0.0018416,0.0018416
6,8.89825,1.02105,0.95354,1.24468,0.79603,0.83934,0.85116,0.59227,1.03444,0.97313,1.26942,0.001802,0.001802,0.001802
7,10.2636,0.99151,0.88643,1.2224,0.89472,0.84211,0.91384,0.62528,1.09683,0.90638,1.32004,0.0017624,0.0017624,0.0017624
8,11.6309,0.95098,0.87265,1.21215,0.72528,0.72299,0.77346,0.52643,1.09866,1.15063,1.25427,0.0017228,0.0017228,0.0017228
9,12.9763,0.91547,0.81605,1.17609,0.85155,0.81041,0.85345,0.61357,0.97945,0.97176,1.17782,0.0016832,0.0016832,0.0016832
10,14.3116,0.90279,0.78398,1.18408,0.857,0.83009,0.89296,0.62347,1.02205,0.85282,1.18393,0.0016436,0.0016436,0.0016436
11,15.6455,0.85842,0.74874,1.15264,0.80689,0.75346,0.8046,0.58073,0.95571,0.89594,1.16625,0.001604,0.001604,0.001604
12,16.9943,0.87837,0.75338,1.16843,0.87137,0.87535,0.89678,0.69477,0.81066,0.71263,1.06106,0.0015644,0.0015644,0.0015644
13,18.4545,0.84016,0.69923,1.12869,0.87883,0.90411,0.91877,0.72487,0.79154,0.62048,1.04738,0.0015248,0.0015248,0.0015248
14,19.8198,0.83609,0.67963,1.12562,0.8528,0.87812,0.89606,0.59645,1.12073,0.77504,1.21454,0.0014852,0.0014852,0.0014852
15,21.1657,0.8039,0.65443,1.1094,0.88061,0.90028,0.91529,0.72237,0.78723,0.64744,1.05133,0.0014456,0.0014456,0.0014456
16,22.4973,0.77851,0.62835,1.10438,0.8938,0.87535,0.91771,0.7094,0.81705,0.64704,1.07326,0.001406,0.001406,0.001406
17,23.8337,0.78872,0.61931,1.11573,0.88204,0.93211,0.92351,0.73005,0.7799,0.63069,1.04125,0.0013664,0.0013664,0.0013664
18,25.1938,0.76433,0.62536,1.10076,0.86763,0.92601,0.91337,0.7308,0.74863,0.60922,1.02625,0.0013268,0.0013268,0.0013268
19,26.5399,0.75595,0.59463,1.09501,0.88659,0.90859,0.9374,0.74082,0.75836,0.59334,1.04149,0.0012872,0.0012872,0.0012872
20,27.9049,0.74895,0.58543,1.08911,0.87904,0.90591,0.92832,0.74385,0.73746,0.61039,1.03629,0.0012476,0.0012476,0.0012476
21,29.2481,0.73029,0.58668,1.07211,0.89599,0.93066,0.95185,0.78453,0.66379,0.52629,0.96852,0.001208,0.001208,0.001208
22,30.6041,0.69304,0.56483,1.04949,0.92184,0.91967,0.94508,0.78432,0.67711,0.52292,0.98164,0.0011684,0.0011684,0.0011684
23,31.9387,0.68512,0.55591,1.0548,0.91557,0.90028,0.94523,0.76216,0.71762,0.5429,1.0216,0.0011288,0.0011288,0.0011288
24,33.2568,0.68207,0.54297,1.05026,0.91842,0.93557,0.95163,0.77904,0.69048,0.52124,0.98713,0.0010892,0.0010892,0.0010892
25,34.6821,0.67353,0.52504,1.05105,0.90547,0.92873,0.95291,0.77048,0.69048,0.52856,0.9974,0.0010496,0.0010496,0.0010496
26,36.0138,0.68476,0.52374,1.04354,0.91888,0.90999,0.9517,0.78745,0.6961,0.52163,0.99023,0.00101,0.00101,0.00101
27,37.3433,0.66332,0.5111,1.04314,0.91109,0.92798,0.9546,0.77744,0.71955,0.51659,0.98589,0.0009704,0.0009704,0.0009704
28,38.6937,0.66037,0.51347,1.04427,0.9056,0.90305,0.94599,0.77673,0.71172,0.53816,0.98601,0.0009308,0.0009308,0.0009308
29,40.017,0.63289,0.4962,1.02781,0.92072,0.9169,0.95073,0.77352,0.73545,0.52478,0.99975,0.0008912,0.0008912,0.0008912
30,41.3494,0.63186,0.50165,1.0264,0.94217,0.91136,0.95998,0.79967,0.64591,0.49085,0.95282,0.0008516,0.0008516,0.0008516
31,42.6941,0.5876,0.47507,1.0005,0.93329,0.93009,0.95238,0.81666,0.60659,0.46535,0.93494,0.000812,0.000812,0.000812
32,44.0517,0.60895,0.4784,1.01364,0.90024,0.94737,0.94969,0.81186,0.60631,0.47541,0.94271,0.0007724,0.0007724,0.0007724
33,45.3725,0.6098,0.4678,1.01464,0.922,0.94962,0.94605,0.81513,0.59526,0.45757,0.93181,0.0007328,0.0007328,0.0007328
34,46.7152,0.58984,0.46464,1.01661,0.91086,0.93075,0.94867,0.80018,0.62146,0.47369,0.94889,0.0006932,0.0006932,0.0006932
35,48.045,0.60589,0.4544,1.00467,0.92637,0.93352,0.9673,0.81044,0.6366,0.46425,0.9524,0.0006536,0.0006536,0.0006536
